Quantity,explanation,mapping
AANTFTE,Aantalfractie,
AANTL,Aantal,
AANTPOPVTE,Aantal per oppervlakte,
AANTPVLME,Aantal per volume,
AANWZHD,Aanwezigheid,
BEDKG,Bedekking,
BEMSRAPRT,Bemonsteringsapparaat,
BREEDTE,Breedte,
CONCTTE,Concentratie,
DIAMTR,Diameter,
DIEPTE,Diepte,
EXPSTDR,Expositieduur,
HOOGTE,Hoogte,
LENGTE,Lengte,
MASSA,Massa,
MASSFTE,Massafractie,
MASSPOPVTE,Massa per oppervlakte,
OPPVTE,Oppervlakte,
OPPVTFTE,Oppervlaktefractie,
SACFOR,SACFOR klasse,
SUBSMTRAL,Substraatmateriaal,
VOLME,Volume,
VOLMFTE,Volume fractie,
ZICHT,Doorzicht,
