Loc.Code,Loc.Naam,Loc.Omschrijving,Loc.EPSG,Loc.Lat,Loc.Lon,Meta.Parameter_Wat_Omschrijving,Meta.Compartiment.Code,Meta.Compartiment.Oms,Meta.Grootheid.Code,Meta.Grootheid.Oms,Meta.Parameter.Code,Meta.Parameter.Oms,Meta.Eenheid,Meta.Hoedanigheid,Meta.Typering,Meta.WaardeBewerkingsMethode,Meta.BioTaxon,Meta.Orgaan,Meta.Groepering.Code,Meta.Groepering.Oms,Meta.ProcesType,
4epetroleumhaven,4e Petroleumhaven,4e Petroleumhaven,ETRS89,51.953524,4.140491,Temperatuur in Lucht in oC,LT,Lucht,T,Temperatuur,NVT,NVT,graad Celsius,NVT,NVT,NVT,NVT,NVT,,,meting,
4epetroleumhaven,4e Petroleumhaven,4e Petroleumhaven,ETRS89,51.953524,4.140491,(massa)Concentratie chloride in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in mg/l,OW,Oppervlaktewater,CONCTTE,(massa)Concentratie,Cl,chloride,milligram per liter,opgeloste fractie (bijv. na filtratie),NVT,NVT,NVT,NVT,,,meting,
4epetroleumhaven,4e Petroleumhaven,4e Petroleumhaven,ETRS89,51.953524,4.140491,(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l,OW,Oppervlaktewater,CONCTTE,(massa)Concentratie,PO4,fosfaat,milligram per liter,uitgedrukt in fosfor / opgeloste fractie,NVT,NVT,NVT,NVT,,,meting,
4epetroleumhaven,4e Petroleumhaven,4e Petroleumhaven,ETRS89,51.953524,4.140491,(massa)Concentratie fosfor totaal in Oppervlaktewater uitgedrukt in fosfor in mg/l,OW,Oppervlaktewater,CONCTTE,(massa)Concentratie,Ptot,fosfor totaal,milligram per liter,uitgedrukt in fosfor,NVT,NVT,NVT,NVT,,,meting,
4epetroleumhaven,4e Petroleumhaven,4e Petroleumhaven,ETRS89,51.953524,4.140491,Temperatuur in Oppervlaktewater in oC,OW,Oppervlaktewater,T,Temperatuur,NVT,NVT,graad Celsius,NVT,NVT,NVT,NVT,NVT,,,meting,
7epetroleumhaven,7e Petroleumhaven,7e Petroleumhaven,ETRS89,51.915615,4.21277,(massa)Concentratie chloride in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in mg/l,OW,Oppervlaktewater,CONCTTE,(massa)Concentratie,Cl,chloride,milligram per liter,opgeloste fractie (bijv. na filtratie),NVT,NVT,NVT,NVT,,,meting,
7epetroleumhaven,7e Petroleumhaven,7e Petroleumhaven,ETRS89,51.915615,4.21277,(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l,OW,Oppervlaktewater,CONCTTE,(massa)Concentratie,PO4,fosfaat,milligram per liter,uitgedrukt in fosfor / opgeloste fractie,NVT,NVT,NVT,NVT,,,meting,
7epetroleumhaven,7e Petroleumhaven,7e Petroleumhaven,ETRS89,51.915615,4.21277,(massa)Concentratie fosfor totaal in Oppervlaktewater uitgedrukt in fosfor in mg/l,OW,Oppervlaktewater,CONCTTE,(massa)Concentratie,Ptot,fosfor totaal,milligram per liter,uitgedrukt in fosfor,NVT,NVT,NVT,NVT,,,meting,
7epetroleumhaven,7e Petroleumhaven,7e Petroleumhaven,ETRS89,51.915615,4.21277,Temperatuur in Oppervlaktewater in oC,OW,Oppervlaktewater,T,Temperatuur,NVT,NVT,graad Celsius,NVT,NVT,NVT,NVT,NVT,,,meting,
a12,A12,platform,ETRS89,55.383333,3.8,Gem. golfperiode langste 1/3 deel v.d. golven (tijdsdomein) in Oppervlaktewater in s,OW,Oppervlaktewater,T1/3,Gem. golfperiode langste 1/3 deel v.d. golven (tijdsdomein),NVT,NVT,seconde,NVT,NVT,NVT,NVT,NVT,,,meting,
