collection,species,occurrences
VIS,anguilla,480609
VIS,brama,301049
VIS,fluviatilis,251589
VIS,rutilus,249073
VIS,melanostomus,236174
VIS,cernua,186161
WMR,subtruncata,170524
VIS,lucioperca,147411
VIS,flesus,107723
VIS,eperlanus,99603
VIS,bjoerkna,84013
WMR,vittatus,77405
VIS,idus,69187
WMR,striatula,65628
WMR,balthica,49892
WMR,fabula,40166
VIS,alburnus,36961
WMR,holsatus,36248
WMR,reticulatus,34700
Aquadesk,filiformis,28232
VIS,minutus,26130
WMR,alba,24689
Aquadesk,armiger,23278
Aquadesk,balthica,23274
VIS,lucius,22141
Aquadesk,elegans,21988
VIS,solea,21464
WMR,solida,21434
WMR,elliptica,21375
WMR,ophiura,19297
VIS,gobio,17558
VIS,aspius,16908
VIS,semilunaris,16880
WMR,rubens,16877
VIS,merlangus,15674
Aquadesk,hombergii,15566
VIS,kessleri,15272
VIS,erythrophthalmus,14396
VIS,aculeatus,14283
VIS,platessa,14143
Aquadesk,ulvae,14143
VIS,harengus,13125
VIS,glanis,12996
VIS,luscus,12984
WMR,scutellata,12750
Aquadesk,marina,12215
VIS,perifretum,12015
WMR,nitidus,11891
WMR,albida,11215
Aquadesk,bidentata,10863
Aquadesk,diversicolor,10776
Aquadesk,bombyx,10749
VIS,marinus,10472
VIS,carpio,10228
VIS,cephalus,9960
VIS,labrax,9869
VIS,oxyrinchus,9704
Aquadesk,cornuta,9672
Aquadesk,edule,9645
WMR,tenuis,9418
VIS,labrosus,9404
Aquadesk,poseidonis,9364
VIS,trutta,9241
Aquadesk,gibba,9192
Aquadesk,cirrosa,9137
Aquadesk,crangon,9125
WMR,bernhardus,9100
VIS,belingi,9076
Aquadesk,arenaria,8983
Aquadesk,conchilega,8886
Aquadesk,cordatum,8855
WMR,maenas,8669
Aquadesk,plana,8618
VIS,barbus,8346
VIS,tinca,8120
Aquadesk,striatula,7791
VIS,niger,7522
Aquadesk,alba,7089
WMR,latipes,6907
VIS,limanda,6844
WMR,cassivelaunus,6622
VIS,viviparus,6528
VIS,taenia,6448
VIS,sprattus,6429
Aquadesk,fabula,6233
Aquadesk,martinensis,6214
Aquadesk,succinea,5821
Aquadesk,shrubsolii,5697
Aquadesk,latericeus,5567
WMR,nitida,5552
VIS,salar,5515
WMR,pugilator,5380
Aquadesk,mucosa,5288
VIS,barbatula,5264
Aquadesk,imbricata,5249
VIS,fallax,5228
Aquadesk,glaucum,5179
WMR,catena,5100
Aquadesk,pilosa,5024
Aquadesk,arenarium,4915
Aquadesk,fornicata,4761
Aquadesk,ferruginosa,4653
Aquadesk,nitida,4513
Aquadesk,nitidosa,4502
Aquadesk,delicatula,4489
Aquadesk,insidiosum,4423
Aquadesk,sulcata,4318
VIS,scorpius,4307
Aquadesk,spirale,4236
VIS,presbyter,4224
Aquadesk,gryllotalpa,4170
Aquadesk,pectinata,4158
Aquadesk,edulis,4137
WMR,lutraria,4135
Aquadesk,irregularis,4021
VIS,nasus,3975
Aquadesk,carinata,3891
Aquadesk,robustum,3784
Aquadesk,subtruncata,3716
Aquadesk,minuta,3715
Aquadesk,cassivelaunus,3705
Aquadesk,flava,3561
WMR,navigator,3448
Aquadesk,ophiura,3437
Aquadesk,tenuis,3390
Aquadesk,subterranea,3271
Aquadesk,pusillus,3186
Aquadesk,setigera,3174
Aquadesk,albida,3130
Aquadesk,maculata,3127
Aquadesk,volutator,3119
Aquadesk,pellucidus,3112
Aquadesk,longa,3098
Aquadesk,lupinus,3015
Aquadesk,pelagica,2992
Aquadesk,dumerilii,2977
Aquadesk,pulchella,2969
Aquadesk,johnstoni,2889
Aquadesk,brevicornis,2877
Aquadesk,flexuosus,2815
Aquadesk,maenas,2809
Aquadesk,holsatus,2797
VIS,mustela,2780
Aquadesk,fervensis,2753
Aquadesk,palustris,2735
Aquadesk,brightwellii,2665
Aquadesk,papillicornis,2614
VIS,amarus,2586
Aquadesk,flaccida,2585
Aquadesk,longimanus,2574
Aquadesk,aurita,2561
Aquadesk,rubens,2558
Aquadesk,sarsi,2546
Aquadesk,inornata,2534
VIS,bubalis,2479
Aquadesk,pulchra,2478
Aquadesk,setosa,2462
Aquadesk,nitzschioides,2441
VIS,sapa,2408
Aquadesk,longissima,2394
Aquadesk,fragilis,2386
Aquadesk,pusilla,2380
Aquadesk,leei,2364
Aquadesk,cylindracea,2332
Aquadesk,glacialis,2330
Aquadesk,benedii,2307
Aquadesk,bipes,2302
VIS,raninus,2274
VIS,gibelio,2270
Aquadesk,ciliata,2265
VIS,microps,2235
Aquadesk,guilliamsoniana,2162
Aquadesk,antennaria,2147
Aquadesk,senarius,2141
Aquadesk,filicornis,2102
Aquadesk,virens,2067
Aquadesk,borealis,2061
Aquadesk,serpens,2048
Aquadesk,viridis,2031
Aquadesk,echinata,2015
Aquadesk,bugensis,1997
Aquadesk,debilis,1991
Aquadesk,fusus,1971
WMR,irregularis,1958
Aquadesk,capitata,1911
Aquadesk,rhomboides,1882
WMR,edulis,1881
Aquadesk,micans,1849
Aquadesk,brachiata,1844
Aquadesk,mathildae,1827
Aquadesk,anomalus,1825
WMR,arenaria,1807
Aquadesk,triestinum,1768
Aquadesk,naidina,1767
Aquadesk,sinensis,1762
Aquadesk,fraudulenta,1758
Aquadesk,undata,1734
Aquadesk,amphiceros,1723
VIS,pungitius,1708
VIS,cataphractus,1688
Aquadesk,corrugata,1685
Aquadesk,fusiformis,1683
Aquadesk,philippinarum,1676
VIS,morhua,1668
VIS,gibbosus,1664
Aquadesk,zodiacus,1653
Aquadesk,ensis,1633
Aquadesk,dubium,1632
VIS,boyeri,1627
Aquadesk,agilis,1627
Aquadesk,armata,1601
Aquadesk,marioni,1538
VIS,delineatus,1532
Aquadesk,communis,1520
Aquadesk,stultorum,1507
Aquadesk,koreni,1506
Aquadesk,rotula,1503
Aquadesk,lyrifera,1493
VIS,leuciscus,1488
Aquadesk,limicola,1483
Aquadesk,spinifer,1479
Aquadesk,paucibranchiata,1462
Aquadesk,gracilis,1450
Aquadesk,annulata,1449
Aquadesk,elongata,1443
Aquadesk,sanguinea,1426
Aquadesk,amurensis,1411
Aquadesk,glaucus,1388
Aquadesk,incisa,1387
Aquadesk,benedicti,1377
Aquadesk,vittatus,1375
Aquadesk,striata,1354
Aquadesk,spicatum,1339
Aquadesk,capensis,1339
Aquadesk,caeca,1337
Aquadesk,tricarinata,1334
Aquadesk,modica,1326
WMR,cordatum,1315
Aquadesk,siliqua,1313
Aquadesk,longicornis,1299
Aquadesk,reticulatus,1293
Aquadesk,deltaura,1289
Aquadesk,locusta,1263
Aquadesk,flexuosa,1263
WMR,edule,1247
Aquadesk,klatti,1229
Aquadesk,bradyi,1227
Aquadesk,maculatus,1186
Aquadesk,fragilissimus,1182
Aquadesk,scintillans,1178
Aquadesk,vitrea,1155
Aquadesk,acuminata,1145
Aquadesk,impar,1133
Aquadesk,bernhardus,1119
Aquadesk,bonnieri,1116
Aquadesk,scriptus,1103
Aquadesk,crispus,1093
Aquadesk,luteum,1089
Aquadesk,limanda,1088
Aquadesk,tridactyla,1049
Aquadesk,cirrhosa,1049
Aquadesk,pholadiformis,1036
Aquadesk,tripartita,1031
Aquadesk,danicus,1030
Aquadesk,islandica,1020
Aquadesk,scutellata,1000
VIS,caucasica,974
Aquadesk,perforatus,966
VIS,gunnellus,964
Aquadesk,alleni,964
Aquadesk,cranchii,960
Aquadesk,holmesi,954
Aquadesk,polymorpha,951
Aquadesk,altamarinus,949
VIS,acus,936
Aquadesk,didymus,936
VIS,limosus,932
Aquadesk,achromaticum,930
Aquadesk,japonica,920
Aquadesk,auricoma,910
Aquadesk,nannoplanctica,907
VIS,carassius,904
Aquadesk,variopedatus,901
Aquadesk,fulgens,900
Aquadesk,cinerea,890
Aquadesk,alata,871
Aquadesk,steinii,871
Aquadesk,alternans,868
WMR,depurator,863
Aquadesk,truncatula,862
Aquadesk,phuketensis,848
Aquadesk,undulatum,847
Aquadesk,radiatus,846
Aquadesk,christiei,836
Aquadesk,papyracea,834
Aquadesk,regia,823
Aquadesk,rhombus,821
Aquadesk,subtilis,818
Aquadesk,squamata,816
Aquadesk,antipodarum,813
Aquadesk,prismatica,809
Aquadesk,baltica,806
Aquadesk,directus,803
Aquadesk,aculeata,798
VIS,vimba,796
Aquadesk,palmata,796
Aquadesk,obtusa,796
VIS,parva,792
Aquadesk,stelliger,787
Aquadesk,catena,782
Aquadesk,phaseolina,779
Aquadesk,allmanni,779
Aquadesk,digitatum,778
Aquadesk,karianus,772
Aquadesk,curvisetus,766
Aquadesk,reticulatum,759
Aquadesk,laterna,755
Aquadesk,limacina,755
Aquadesk,marinus,752
Aquadesk,latreilli,749
Aquadesk,trispinosus,732
Aquadesk,slabberi,732
Aquadesk,danica,730
Aquadesk,tenuicornis,730
Aquadesk,longicruris,728
Aquadesk,platessa,725
Aquadesk,fluminea,721
Aquadesk,spinifera,715
Aquadesk,mirabilis,706
Aquadesk,normanii,700
WMR,fornicata,699
Aquadesk,thoracica,690
Aquadesk,boa,684
Aquadesk,americanus,684
VIS,trachurus,684
Aquadesk,nordmanni,682
Aquadesk,bonellii,682
Aquadesk,convexa,677
Aquadesk,octonarius,668
VIS,sinensis,668
Aquadesk,lubrica,667
Aquadesk,densus,662
Aquadesk,kofoidii,657
Aquadesk,foliosa,652
Aquadesk,faveolata,649
Aquadesk,rubra,649
Aquadesk,fuliginosus,648
Aquadesk,ventrosa,646
Aquadesk,triquetra,642
Aquadesk,piscinalis,640
Aquadesk,similis,638
VIS,liparis,636
Aquadesk,lutraria,636
Aquadesk,assimilis,636
Aquadesk,membranacea,625
Aquadesk,lateralis,621
Aquadesk,crenatus,616
Aquadesk,littorea,611
Aquadesk,typica,611
Aquadesk,lunulata,605
Aquadesk,tenuipes,602
Aquadesk,lineatus,601
Aquadesk,miliaris,598
Aquadesk,cerasus,594
Aquadesk,perfoliatus,593
Aquadesk,maritima,590
Aquadesk,subinerme,584
Aquadesk,nuttallii,583
Aquadesk,obtusata,582
Aquadesk,muelleri,577
Aquadesk,pellucidum,571
VIS,idella,568
Aquadesk,figulus,564
Aquadesk,depurator,562
VIS,lota,560
Aquadesk,rotunda,558
Aquadesk,speculum,557
Aquadesk,oculata,555
Aquadesk,sarsii,552
Aquadesk,brevipes,552
Aquadesk,punctigera,551
Aquadesk,invalida,549
VIS,rostellatus,548
VIS,lozanoi,544
Aquadesk,paxillifer,539
Aquadesk,faculiferum,535
Aquadesk,flavescens,534
VIS,ramada,532
Aquadesk,acherusicum,531
Aquadesk,reticulata,531
Aquadesk,rotundata,529
Aquadesk,plumosus,524
VIS,belone,524
Aquadesk,fusca,518
Aquadesk,lens,518
Aquadesk,pespelecani,517
VIS,mykiss,516
Aquadesk,maculatum,515
